# Table format: 1D
# table_unit = Ohm
# axis1_unit = %
# axis1_title = DOD
# axis2_title = internal resistance
# Generated by Hybrid Optimization Tool of Simcenter Amesim 2304 (2023-11-10 09:45:33)
     0.00000000000000e+00      1.82833763722165e-01
     1.00000000000000e+00      1.95343723161491e-01
     2.00000000000000e+00      2.07853682600817e-01
     3.00000000000000e+00      2.20363642040143e-01
     4.00000000000000e+00      2.32873601479469e-01
     5.00000000000000e+00      2.45383560918795e-01
     6.00000000000000e+00      2.57893520358120e-01
     7.00000000000000e+00      2.70403479797446e-01
     8.00000000000000e+00      2.82913439236772e-01
     9.00000000000000e+00      2.95423398676098e-01
     1.00000000000000e+01      3.07933358115424e-01
     1.10000000000000e+01      3.14886860523676e-01
     1.20000000000000e+01      3.21840362931928e-01
     1.30000000000000e+01      3.28793865340180e-01
     1.40000000000000e+01      3.35747367748432e-01
     1.50000000000000e+01      3.42700870156684e-01
     1.60000000000000e+01      3.49654372564936e-01
     1.70000000000000e+01      3.56607874973188e-01
     1.80000000000000e+01      3.63561377381440e-01
     1.90000000000000e+01      3.70514879789692e-01
     2.00000000000000e+01      3.77468382197944e-01
     2.10000000000000e+01      3.80360979358509e-01
     2.20000000000000e+01      3.83253576519074e-01
     2.30000000000000e+01      3.86146173679638e-01
     2.40000000000000e+01      3.89038770840203e-01
     2.50000000000000e+01      3.91931368000768e-01
     2.60000000000000e+01      3.94823965161332e-01
     2.70000000000000e+01      3.97716562321897e-01
     2.80000000000000e+01      4.00609159482461e-01
     2.90000000000000e+01      4.03501756643026e-01
     3.00000000000000e+01      4.06394353803591e-01
     3.10000000000000e+01      4.06721612945610e-01
     3.20000000000000e+01      4.07048872087628e-01
     3.30000000000000e+01      4.07376131229647e-01
     3.40000000000000e+01      4.07703390371665e-01
     3.50000000000000e+01      4.08030649513684e-01
     3.60000000000000e+01      4.08357908655703e-01
     3.70000000000000e+01      4.08685167797722e-01
     3.80000000000000e+01      4.09012426939740e-01
     3.90000000000000e+01      4.09339686081759e-01
     4.00000000000000e+01      4.09666945223778e-01
     4.10000000000000e+01      4.08924503082290e-01
     4.20000000000000e+01      4.08182060940801e-01
     4.30000000000000e+01      4.07439618799313e-01
     4.40000000000000e+01      4.06697176657825e-01
     4.50000000000000e+01      4.05954734516337e-01
     4.60000000000000e+01      4.05212292374849e-01
     4.70000000000000e+01      4.04469850233361e-01
     4.80000000000000e+01      4.03727408091873e-01
     4.90000000000000e+01      4.02984965950385e-01
     5.00000000000000e+01      4.02242523808897e-01
     5.10000000000000e+01      4.01925872590805e-01
     5.20000000000000e+01      4.01609221372712e-01
     5.30000000000000e+01      4.01292570154620e-01
     5.40000000000000e+01      4.00975918936528e-01
     5.50000000000000e+01      4.00659267718435e-01
     5.60000000000000e+01      4.00342616500343e-01
     5.70000000000000e+01      4.00025965282251e-01
     5.80000000000000e+01      3.99709314064158e-01
     5.90000000000000e+01      3.99392662846066e-01
     6.00000000000000e+01      3.99076011627974e-01
     6.10000000000000e+01      4.00680797997730e-01
     6.20000000000000e+01      4.02285584367487e-01
     6.30000000000000e+01      4.03890370737244e-01
     6.40000000000000e+01      4.05495157107001e-01
     6.50000000000000e+01      4.07099943476757e-01
     6.60000000000000e+01      4.08704729846514e-01
     6.70000000000000e+01      4.10309516216271e-01
     6.80000000000000e+01      4.11914302586027e-01
     6.90000000000000e+01      4.13519088955784e-01
     7.00000000000000e+01      4.15123875325541e-01
     7.10000000000000e+01      4.20145605832536e-01
     7.20000000000000e+01      4.25167336339531e-01
     7.30000000000000e+01      4.30189066846526e-01
     7.40000000000000e+01      4.35210797353521e-01
     7.50000000000000e+01      4.40232527860516e-01
     7.60000000000000e+01      4.45254258367511e-01
     7.70000000000000e+01      4.50275988874506e-01
     7.80000000000000e+01      4.55297719381501e-01
     7.90000000000000e+01      4.60319449888496e-01
     8.00000000000000e+01      4.65341180395491e-01
     8.10000000000000e+01      4.75275458676717e-01
     8.20000000000000e+01      4.85209736957943e-01
     8.30000000000000e+01      4.95144015239169e-01
     8.40000000000000e+01      5.05078293520395e-01
     8.50000000000000e+01      5.15012571801621e-01
     8.60000000000000e+01      5.24946850082847e-01
     8.70000000000000e+01      5.34881128364073e-01
     8.80000000000000e+01      5.44815406645299e-01
     8.90000000000000e+01      5.54749684926525e-01
     9.00000000000000e+01      5.64683963207751e-01
     9.10000000000000e+01      5.81026321187767e-01
     9.20000000000000e+01      5.97368679167782e-01
     9.30000000000000e+01      6.13711037147798e-01
     9.40000000000000e+01      6.30053395127813e-01
     9.50000000000000e+01      6.46395753107829e-01
     9.60000000000000e+01      6.62738111087844e-01
     9.70000000000000e+01      6.79080469067860e-01
     9.80000000000000e+01      6.95422827047875e-01
     9.90000000000000e+01      7.11765185027891e-01
     1.00000000000000e+02      7.28107543007906e-01
