# Table format: T1D
# table_unit = Nm
# axis1_unit = rev/min
# axis2_unit = null
# axis1_title = engine speed
# axis2_title = load
# axis3_title = torque
# Generated by Hybrid Optimization Tool of Simcenter Amesim 2304 (2023-11-10 10:35:56)
     0.00000000000000e+00     11
     0.00000000000000e+00      0.00000000000000e+00
     7.00000000000000e+02     -8.80000000000000e+00
     1.00000000000000e+03     -1.16000000000000e+01
     1.50000000000000e+03     -1.64000000000000e+01
     1.60000000000000e+03     -1.73000000000000e+01
     2.00000000000000e+03     -2.11000000000000e+01
     2.50000000000000e+03     -2.60000000000000e+01
     3.00000000000000e+03     -3.09000000000000e+01
     3.50000000000000e+03     -3.58000000000000e+01
     3.80000000000000e+03     -3.87000000000000e+01
     4.00000000000000e+03     -4.07000000000000e+01
     1.00000000000000e+02     11
     0.00000000000000e+00      0.00000000000000e+00
     7.00000000000000e+02      1.48300000000000e+02
     1.00000000000000e+03      2.82500000000000e+02
     1.50000000000000e+03      3.86900000000000e+02
     1.60000000000000e+03      4.00000000000000e+02
     2.00000000000000e+03      3.86000000000000e+02
     2.50000000000000e+03      3.74700000000000e+02
     3.00000000000000e+03      3.67200000000000e+02
     3.50000000000000e+03      3.61900000000000e+02
     3.80000000000000e+03      3.59400000000000e+02
     4.00000000000000e+03      3.23400000000000e+02
