# Table format: 1D
# table_unit = bar
# axis1_unit = rev/min
# axis1_title = engine speed
# axis2_title = FMEP
# Generated by Hybrid Optimization Tool of Simcenter Amesim 2304 (2023-11-10 10:35:56)
     7.00000000000000e+02      5.80000000000000e-01
     1.00000000000000e+03      7.60000000000000e-01
     1.50000000000000e+03      1.06000000000000e+00
     1.60000000000000e+03      1.12000000000000e+00
     2.00000000000000e+03      1.37000000000000e+00
     2.50000000000000e+03      1.67000000000000e+00
     3.00000000000000e+03      1.97000000000000e+00
     3.50000000000000e+03      2.28000000000000e+00
     3.80000000000000e+03      2.46000000000000e+00
     4.00000000000000e+03      2.58000000000000e+00
