# Table format: 1D
# table_unit = bar
# axis1_unit = rev/min
# axis1_title = engine speed
# axis2_title = FMEP
# Generated by Hybrid Optimization Tool of Simcenter Amesim 2304 (2024-01-25 08:34:39)
     7.00000000000000e+02      5.60000000000000e-01
     1.00000000000000e+03      6.30000000000000e-01
     1.50000000000000e+03      7.40000000000000e-01
     2.00000000000000e+03      8.50000000000000e-01
     2.50000000000000e+03      9.60000000000000e-01
     3.00000000000000e+03      1.07000000000000e+00
     3.50000000000000e+03      1.18000000000000e+00
     4.00000000000000e+03      1.29000000000000e+00
     4.50000000000000e+03      1.40000000000000e+00
     5.00000000000000e+03      1.51000000000000e+00
     5.50000000000000e+03      1.63000000000000e+00
     5.70000000000000e+03      1.67000000000000e+00
     6.00000000000000e+03      1.74000000000000e+00
