# Table format: XY
0	0	0	800
6	0	0	800
11	0	1	800
15	4.16666667	1	1875.000002
23	4.16666667	1	1875.000002
25	2.777777778	0	800
28	0	0	800
44	0	0	800
49	0	1	800
54	4.166666667	1	1875
55	4.1666667	2	1000.000008
56	4.166666667	2	1000
61	8.88888889	2	2133.333334
85	8.88888889	2	2133.333334
93	2.777777778	0	800
96	0	0	800
112	0	0	800
117	0	1	800
122	4.166666667	1	1875
123	4.166666667	2	1000
124	4.166666667	2	1000
133	9.722222222	2	2333.333333
134	9.722222222	3	1590.909091
135	9.722222222	3	1590.909091
143	13.88888889	3	2272.727273
155	13.88888889	3	2272.727273
163	9.72222222	3	1590.909091
176	9.72222222	3	1590.909091
177	9.305555555	2	2233.333333
178	8.888888889	2	2133.333333
185	2.777777778	0	800
188	0	0	800
195	0	0	800
195.01	0	0	800
201	0	0	800
206	0	1	800
210	4.16666667	1	1875.000002
218	4.16666667	1	1875.000002
220	2.777777778	0	800
223	0	0	800
239	0	0	800
244	0	1	800
249	4.166666667	1	1875
250	4.1666667	2	1000.000008
251	4.166666667	2	1000
256	8.88888889	2	2133.333334
280	8.88888889	2	2133.333334
288	2.777777778	0	800
291	0	0	800
307	0	0	800
312	0	1	800
317	4.166666667	1	1875
318	4.166666667	2	1000
319	4.166666667	2	1000
328	9.722222222	2	2333.333333
329	9.722222222	3	1590.909091
330	9.722222222	3	1590.909091
338	13.88888889	3	2272.727273
350	13.88888889	3	2272.727273
358	9.72222222	3	1590.909091
371	9.72222222	3	1590.909091
372	9.305555555	2	2233.333333
373	8.888888889	2	2133.333333
380	2.777777778	0	800
383	0	0	800
390	0	0	800
390.01	0	0	800
410	0	1	800
415	4.166666667	1	1875
416	4.166666667	2	1000
417	4.166666667	2	1000
426	9.722222222	2	2333.333333
427	9.722222222	3	1590.909091
428	9.722222222	3	1590.909091
436	13.88888889	3	2272.727273
437	13.88888889	4	1724.137931
438	13.88888889	4	1724.137931
451	19.44444444	4	2413.793103
452	19.44444444	5	1891.891891
501	19.44444444	5	1891.891891
505	16.66666667	5	1621.621622
506	14.58333334	4	1810.344828
509	13.88888889	4	1724.137931
578	13.88888889	4	1724.137931
592	19.44444444	4	2413.793103
593	19.44444444	5	1891.891891
641	19.44444444	5	1891.891891
676	27.77777778	5	2702.702703
706	27.77777778	5	2702.702703
726	33.33333333	5	3243.243243
736	33.33333333	5	3243.243243
752	22.22222222	5	2162.162162
760	13.88888889	0	800
770	0	0	800
790	0	0	800
